NameMale
Ciechanowski
Polek
Poniatowski
Bakalarz
Bia³ek
Chaciñski
Skrzyñski
Haber
WoŸnicki
Przybylak
Walkowicz
Grabski
Bil
Schab
G³owiñski
Waliczek
Roszak
Roszkowski
Murzyn
¯aba
Truszczyñski
Pucek
Szmigiel
Zborowski
Szponar
Jaworowski
Pêczek
Walewski
Trojak
Sakowski
Golba
Stadnik
Kostka
£ukaszczyk
Hinc
Gostyñski
Perzyna
Rakoczy
Lendzion
Rozbicki
Czekaj
Miotk
Kondrat
Paziewski
Bielak
Sidorowicz
Dziak
Syski
K³osowski
Krajnik
Piwowarski
Trzeciak
Wolnik
Michalak
Kogut
S³omiñski
Grzesiak
Maciejewski
Dzienis
Szeliga
Bobiñski
Trojnar
Krukowski
Malarz
Dobrzycki
Ziêba
Gutkowski
Koziarski
Parol
Szpakowski
Gad
Iwanowski
Szlaga
Latusek
Pietraszek
Pietrowski
Oliwa
Kuciñski
Zyskowski
Romanek
Kossowski
Bšczyk
Stasiewicz
Krasicki
Jasek
Skupiñski
Lasek
Dziêcio³
Piech
Szala
Szczepanik
Binkowski
Kucharski
Rojek
Domagalski
Wojtysiak
Dworzyñski
Stodulski
Domeracki
£ysoñ
Szymura
Marcinkiewicz
Hetman
Koszyk
Sulikowski
Budnik
£oœ
Stankiewicz
Drzyma³a
Sobol
Jagie³³o
Branicki
B³aszczyk
Jarzyñski
Zawadka
Rokosz
Warzecha
Zadroga
Stêpiñski
Szkoda
WoŸnica
Karolczyk
Leszek
Rumiñski
Smó³ka
Milewicz
Sa³ata
Maliszewski
Napiórkowski
Kurek
Talarczyk
Kosek
Lorenc
Wojtala
Gorzkowski
Kwoka
Karliñski
Koza
Pietrzak
Ptaszek
Polewski
Gwiazda
Dunajski
Józefiak
Zdyb
Mielnicki
Sumiñski
Kozub
Jucha
Sokó³
Winiarek
Bojarski
Przyby³a
Smoczyñski
Pieczka
Szczeœniak
Stenka
Stachnik
¯šd³o
Dudkiewicz
Stefan
Wojna
Miku³a
M³yñski
Kotowicz
Piasek
Soszyñski
Kiszka
Je¿ewski
Sroczyñski
Tyl
Walter
Górak
Fršczak
Jachym
Chudzik
Kozanecki
Jurasz
Gawor
Syta
Abramek
Frankowski
Skonieczna
Wojtanowski
Hibner
Rogalski
Matyja
Gapiñski
Warszawski
Matusiewicz
Mnich
Dylewski
Zarêba
Dutka
Zaremba
Winnicki
Rowiñski
Dorsz
Piorun
Rossa
Iwañczuk
Gilewski
Lisowski
Krasuski
Rêbisz
Keller
Pa³ubicki
Berger
Kulpiñski
Budek
Jawor
Niedbalski
Kordek
Brodziñski
Fortuna
S³onina
Janas
Po³eæ
Gawrysiak
Masiak
Gliñski
Maj
Rogiñski
Piechowicz
Panas
Gromadzki
Korzeniewski
Karpowicz
Wachowski
Wieloch
Barczak
Müller
Mól
